Name,Category,Price,Quality
LegendsLegends,RPG,26237,50
LegendsGalaxy,RPG,1540,44
LegendsGalaxy,RPG,13747,17
GalaxyQuest,RPG,67534,92
QuestQuest,Estrategia,20654,91
EmpireDragon,Aventura,32324,96
LegendsDragon,Aventura,32646,80
LegendsEmpire,Simulación,11028,79
DragonEmpire,RPG,652,16
QuestWarrior,Estrategia,57489,48
LegendsLegends,Simulación,22420,44
WarriorDragon,Estrategia,55700,98
DragonGalaxy,Deportes,22789,67
LegendsDragon,Estrategia,5140,42
EmpireLegends,Simulación,51900,79
WarriorQuest,Deportes,59646,61
GalaxyQuest,Acción,16123,60
LegendsWarrior,Simulación,31054,5
EmpireEmpire,Estrategia,34676,67
WarriorGalaxy,Estrategia,32101,6
QuestGalaxy,Acción,58828,86
EmpireWarrior,RPG,35400,85
QuestDragon,Acción,36521,87
GalaxyDragon,Deportes,14191,34
DragonLegends,Aventura,16075,55
QuestWarrior,Acción,6356,67
GalaxyEmpire,Deportes,32823,69
DragonWarrior,Acción,44342,9
LegendsLegends,Aventura,34560,39
DragonLegends,Simulación,36410,62
WarriorGalaxy,Aventura,17245,43
LegendsGalaxy,Deportes,38419,61
QuestDragon,RPG,68174,74
WarriorEmpire,Estrategia,45711,48
LegendsWarrior,Estrategia,68604,58
DragonGalaxy,Simulación,49277,37
EmpireLegends,Aventura,56441,58
EmpireGalaxy,Deportes,25676,26
DragonQuest,Deportes,11237,49
QuestLegends,Aventura,51807,71
DragonEmpire,Deportes,13910,92
GalaxyDragon,Aventura,30225,79
DragonEmpire,Estrategia,52784,79
DragonDragon,Estrategia,62090,55
DragonLegends,RPG,56869,32
GalaxyQuest,Acción,25435,37
DragonEmpire,Estrategia,35356,43
EmpireLegends,Simulación,64644,93
QuestLegends,Deportes,51877,5
LegendsGalaxy,Acción,66106,74
GalaxyWarrior,RPG,16621,37
WarriorEmpire,Acción,66937,89
QuestDragon,Estrategia,37226,70
EmpireWarrior,Estrategia,69522,54
WarriorLegends,Deportes,47557,15
GalaxyQuest,Acción,21467,54
GalaxyDragon,Deportes,17742,72
LegendsQuest,Estrategia,56590,74
QuestLegends,Simulación,36074,17
DragonQuest,RPG,23898,94
DragonGalaxy,Estrategia,49918,6
GalaxyLegends,Simulación,50493,27
WarriorWarrior,Estrategia,11936,91
GalaxyWarrior,Aventura,17045,60
WarriorWarrior,Estrategia,44570,6
EmpireEmpire,Simulación,26290,15
EmpireDragon,Estrategia,31455,11
LegendsGalaxy,RPG,15942,20
DragonLegends,RPG,46615,63
QuestEmpire,Deportes,62105,81
LegendsDragon,Acción,8622,9
DragonLegends,Aventura,16351,51
QuestGalaxy,Estrategia,31553,14
WarriorEmpire,Aventura,16647,60
GalaxyWarrior,RPG,52021,100
DragonLegends,RPG,14670,93
GalaxyQuest,Acción,43934,31
WarriorDragon,Simulación,52358,85
DragonDragon,Estrategia,39753,80
EmpireGalaxy,Simulación,61082,38
GalaxyQuest,RPG,40877,14
EmpireGalaxy,Simulación,58660,88
DragonLegends,Deportes,7500,94
GalaxyQuest,Deportes,63342,23
DragonGalaxy,Simulación,49607,36
QuestQuest,Aventura,58948,42
EmpireEmpire,Acción,12989,68
DragonEmpire,Aventura,2763,62
DragonDragon,Deportes,20742,97
QuestEmpire,Simulación,64382,59
DragonDragon,Aventura,59364,62
LegendsQuest,Simulación,58536,35
LegendsLegends,Deportes,28855,79
LegendsEmpire,Aventura,21438,74
QuestQuest,RPG,26768,40
QuestWarrior,Simulación,38307,30
GalaxyQuest,Simulación,20857,40
LegendsQuest,RPG,371,12
EmpireDragon,Estrategia,36928,82
DragonDragon,RPG,59695,25
LegendsLegends,Deportes,1666,73
QuestDragon,RPG,63895,36
EmpireDragon,Aventura,28249,22
GalaxyDragon,Deportes,8803,27
EmpireLegends,Simulación,5168,83
EmpireDragon,Simulación,51124,28
LegendsQuest,Aventura,31880,83
EmpireDragon,RPG,66520,40
LegendsQuest,RPG,24841,42
QuestQuest,Deportes,254,18
LegendsQuest,Aventura,10860,24
QuestDragon,Estrategia,50932,16
EmpireGalaxy,RPG,16352,37
EmpireWarrior,RPG,39394,96
WarriorQuest,Aventura,54586,72
LegendsLegends,Acción,19,51
QuestDragon,Simulación,16441,58
GalaxyGalaxy,Estrategia,61961,49
QuestGalaxy,Aventura,30144,1
DragonGalaxy,Aventura,49019,62
LegendsEmpire,Simulación,43805,57
DragonQuest,RPG,43728,84
EmpireQuest,Acción,36590,49
LegendsEmpire,RPG,34814,58
EmpireQuest,Deportes,24614,18
DragonWarrior,RPG,68565,18
GalaxyLegends,Acción,5006,19
QuestWarrior,Estrategia,68561,6
LegendsQuest,Deportes,66816,36
DragonWarrior,Deportes,19262,42
GalaxyEmpire,Estrategia,47426,35
LegendsDragon,Estrategia,53452,52
LegendsGalaxy,Deportes,47277,67
QuestEmpire,Aventura,47670,13
QuestGalaxy,Deportes,10422,21
DragonGalaxy,Deportes,69652,94
WarriorLegends,Aventura,56521,30
LegendsLegends,Deportes,44573,81
EmpireGalaxy,Estrategia,43846,73
WarriorDragon,Aventura,31130,5
DragonLegends,RPG,1424,40
EmpireWarrior,Deportes,2094,20
LegendsEmpire,Estrategia,69148,64
DragonDragon,Aventura,27985,46
QuestDragon,Estrategia,57615,15
QuestGalaxy,Estrategia,45232,77
WarriorEmpire,RPG,13612,12
DragonEmpire,Simulación,18183,35
EmpireEmpire,Simulación,38715,62
QuestGalaxy,Estrategia,56815,2
DragonWarrior,Deportes,11638,81
QuestDragon,RPG,52566,0
EmpireQuest,Acción,7958,80
GalaxyGalaxy,Deportes,12067,2
WarriorWarrior,Aventura,66796,98
QuestEmpire,Deportes,10620,46
EmpireWarrior,Estrategia,41799,78
DragonEmpire,Acción,21648,76
QuestGalaxy,Deportes,64747,73
LegendsEmpire,Acción,48416,88
QuestLegends,Acción,42341,85
GalaxyGalaxy,Acción,47687,88
QuestEmpire,Estrategia,43027,32
LegendsEmpire,RPG,64057,17
WarriorWarrior,Deportes,59869,43
EmpireEmpire,Estrategia,46250,23
DragonWarrior,Simulación,28652,27
QuestGalaxy,Acción,69836,48
GalaxyDragon,Simulación,45514,4
DragonDragon,RPG,23981,82
QuestEmpire,Estrategia,29085,41
LegendsDragon,RPG,23961,32
LegendsLegends,RPG,64929,98
GalaxyGalaxy,Simulación,51901,16
LegendsEmpire,Acción,9097,32
EmpireDragon,Aventura,10612,68
QuestLegends,Simulación,59204,79
QuestGalaxy,Acción,24360,29
LegendsEmpire,Acción,36152,58
EmpireGalaxy,Aventura,4481,66
WarriorEmpire,Simulación,27999,28
QuestDragon,Deportes,18915,75
EmpireEmpire,Simulación,27642,52
EmpireWarrior,RPG,44555,32
DragonLegends,RPG,41793,27
WarriorQuest,Deportes,4906,11
EmpireWarrior,Simulación,16848,21
LegendsQuest,Aventura,43356,55
GalaxyGalaxy,Deportes,17327,69
LegendsDragon,Aventura,2352,22
GalaxyEmpire,Aventura,47529,20
QuestDragon,Simulación,50345,15
GalaxyLegends,Simulación,66738,68
QuestWarrior,RPG,536,48
EmpireLegends,Aventura,39045,54
QuestGalaxy,Aventura,42272,32
LegendsLegends,Simulación,63910,70
GalaxyLegends,Aventura,17869,34
DragonQuest,Estrategia,10847,55
EmpireDragon,Estrategia,8019,49
LegendsGalaxy,Acción,34376,25
DragonLegends,Simulación,12404,43
LegendsEmpire,Acción,58753,90
QuestDragon,Acción,15370,24
EmpireDragon,Aventura,36236,45
DragonGalaxy,Estrategia,5153,34
QuestEmpire,Aventura,5463,31
GalaxyDragon,Estrategia,63919,85
WarriorQuest,Aventura,62,14
LegendsWarrior,Estrategia,45782,30
QuestQuest,Estrategia,56788,61
DragonQuest,Simulación,65879,3
GalaxyLegends,Aventura,47762,85
LegendsQuest,Aventura,32683,59
EmpireDragon,Simulación,31087,11
DragonDragon,Aventura,59089,14
GalaxyWarrior,Simulación,50258,63
DragonDragon,Simulación,23378,2
LegendsEmpire,Simulación,65844,75
WarriorQuest,Simulación,40854,90
GalaxyDragon,RPG,53140,22
WarriorQuest,Deportes,17651,76
EmpireGalaxy,Acción,33869,36
QuestLegends,Aventura,17239,56
WarriorGalaxy,Estrategia,16125,59
EmpireEmpire,Deportes,47695,46
QuestQuest,Deportes,4444,85
DragonGalaxy,RPG,59569,58
QuestDragon,Aventura,36664,85
WarriorDragon,Estrategia,48003,26
GalaxyWarrior,Aventura,38272,68
DragonGalaxy,Acción,42363,28
DragonLegends,Deportes,69715,91
QuestLegends,Aventura,57356,87
DragonQuest,Estrategia,8961,85
DragonDragon,Estrategia,20898,76
QuestDragon,RPG,41899,64
DragonDragon,Acción,45232,77
DragonGalaxy,Acción,24070,24
GalaxyLegends,Aventura,13408,38
WarriorEmpire,Estrategia,29714,51
DragonWarrior,Deportes,12377,41
DragonLegends,Acción,33609,39
WarriorEmpire,Estrategia,23481,15
EmpireDragon,Acción,39122,84
GalaxyQuest,Aventura,14892,41
EmpireDragon,RPG,47149,41
WarriorQuest,Acción,16677,45
DragonQuest,Aventura,48318,70
DragonQuest,Deportes,9371,56
QuestQuest,Aventura,17413,64
DragonLegends,Deportes,44794,2
LegendsQuest,Acción,43410,67
QuestWarrior,Acción,38480,53
EmpireLegends,Simulación,9858,54
EmpireDragon,Simulación,59299,47
QuestQuest,Deportes,33278,89
DragonWarrior,RPG,175,30
GalaxyWarrior,Estrategia,63054,71
GalaxyWarrior,Simulación,3321,42
DragonGalaxy,Estrategia,12812,47
EmpireQuest,Simulación,48269,78
QuestQuest,Simulación,28757,22
DragonWarrior,Aventura,50008,72
DragonQuest,Acción,69404,33
WarriorLegends,Deportes,53438,49
GalaxyQuest,Acción,3936,60
LegendsQuest,Simulación,21849,35
LegendsQuest,Aventura,34631,81
WarriorDragon,Simulación,9700,46
LegendsEmpire,Aventura,33635,56
LegendsLegends,RPG,36656,0
LegendsDragon,Acción,25558,8
DragonDragon,Estrategia,699,55
GalaxyEmpire,Aventura,28797,8
QuestLegends,Simulación,29399,51
QuestWarrior,RPG,61899,17
LegendsDragon,Deportes,18639,13
WarriorGalaxy,Aventura,25069,32
QuestGalaxy,Simulación,23314,79
EmpireDragon,Simulación,24088,100
GalaxyLegends,Simulación,40326,68
WarriorDragon,Deportes,15342,81
DragonWarrior,Simulación,67938,1
QuestLegends,Simulación,22123,2
EmpireEmpire,Acción,63652,34
GalaxyGalaxy,RPG,25038,29
GalaxyQuest,Aventura,9977,55
DragonQuest,RPG,58852,50
EmpireWarrior,Deportes,28700,26
GalaxyLegends,Simulación,28920,91
QuestQuest,Estrategia,36127,43
WarriorGalaxy,Deportes,51380,80
WarriorGalaxy,Simulación,62769,32
QuestWarrior,Simulación,33119,65
EmpireEmpire,Aventura,27606,36
GalaxyWarrior,Estrategia,7637,57
EmpireEmpire,Estrategia,7720,14
WarriorGalaxy,Simulación,63035,51
QuestEmpire,RPG,5114,81
LegendsEmpire,Estrategia,19108,45
QuestQuest,Deportes,43728,94
LegendsDragon,Deportes,42124,14
GalaxyQuest,Acción,64910,9
DragonWarrior,RPG,52327,46
LegendsQuest,Simulación,40993,89
DragonGalaxy,Deportes,20062,36
GalaxyQuest,Simulación,41458,16
DragonLegends,Deportes,11205,48
DragonWarrior,Deportes,9074,43
WarriorLegends,RPG,49411,8
GalaxyDragon,Acción,31050,74
DragonDragon,Deportes,49008,66
DragonLegends,Estrategia,26742,57
WarriorLegends,Estrategia,48471,28
EmpireGalaxy,Estrategia,13552,37
DragonDragon,Deportes,45148,18
WarriorDragon,Estrategia,4144,12
EmpireLegends,Deportes,11821,60
LegendsGalaxy,Simulación,15898,56
WarriorLegends,RPG,17714,72
LegendsWarrior,Acción,22490,36
GalaxyLegends,Acción,21975,20
QuestGalaxy,Aventura,65406,23
DragonWarrior,Deportes,19553,47
QuestWarrior,Simulación,43998,32
DragonEmpire,Simulación,13654,19
QuestDragon,Acción,68469,54
EmpireLegends,Aventura,29672,56
GalaxyLegends,Aventura,29363,5
DragonDragon,Acción,39713,72
WarriorGalaxy,Simulación,13575,54
WarriorEmpire,Simulación,40845,89
LegendsDragon,Estrategia,8499,48
GalaxyDragon,RPG,45214,81
DragonGalaxy,Estrategia,55671,12
WarriorGalaxy,Aventura,68294,0
LegendsEmpire,RPG,13162,42
GalaxyLegends,Acción,584,34
LegendsLegends,Estrategia,63936,11
GalaxyGalaxy,Aventura,3100,67
EmpireQuest,Acción,30561,82
DragonWarrior,Simulación,38797,8
GalaxyEmpire,Deportes,33091,81
EmpireWarrior,Estrategia,57189,78
GalaxyWarrior,Deportes,42341,99
DragonEmpire,Acción,46735,77
GalaxyWarrior,Simulación,23820,71
EmpireLegends,RPG,51107,7
QuestQuest,Simulación,42365,13
DragonLegends,Aventura,12447,33
LegendsWarrior,Simulación,29413,65
WarriorWarrior,Aventura,48840,54
LegendsWarrior,Simulación,28320,53
GalaxyWarrior,Aventura,5170,82
EmpireLegends,Aventura,33066,63
LegendsEmpire,RPG,9106,31
GalaxyEmpire,Aventura,67771,68
LegendsDragon,Aventura,39905,19
LegendsQuest,Estrategia,11246,10
DragonLegends,Acción,24732,15
QuestGalaxy,Acción,19500,5
EmpireQuest,Deportes,24670,16
EmpireGalaxy,Aventura,42491,82
EmpireQuest,Estrategia,54439,58
EmpireQuest,Deportes,55373,5
WarriorWarrior,Simulación,65238,54
QuestLegends,RPG,40840,51
LegendsWarrior,Deportes,9089,46
EmpireLegends,Acción,11875,48
LegendsDragon,Estrategia,61688,42
DragonQuest,Aventura,58311,4
DragonDragon,Aventura,33099,15
LegendsEmpire,Acción,48567,36
EmpireQuest,RPG,48934,2
QuestWarrior,Aventura,26354,78
QuestEmpire,Aventura,5077,77
LegendsEmpire,RPG,58800,77
DragonWarrior,Estrategia,5397,11
LegendsDragon,Deportes,14484,14
DragonLegends,Aventura,12377,100
QuestLegends,Acción,69897,34
LegendsDragon,Aventura,39653,25
EmpireWarrior,RPG,33722,17
LegendsQuest,Estrategia,53280,93
WarriorWarrior,Estrategia,9001,70
GalaxyQuest,Aventura,51923,93
QuestDragon,Aventura,13578,22
QuestWarrior,Aventura,44274,48
DragonQuest,Estrategia,52860,61
EmpireLegends,Deportes,43521,4
EmpireGalaxy,RPG,38016,17
QuestQuest,Simulación,52661,56
LegendsQuest,Deportes,10037,52
GalaxyQuest,Estrategia,60626,40
WarriorWarrior,Estrategia,51615,50
GalaxyLegends,RPG,24095,65
GalaxyEmpire,Deportes,53446,30
DragonWarrior,Estrategia,11145,3
QuestQuest,Aventura,31295,66
GalaxyLegends,Simulación,13922,30
WarriorEmpire,Deportes,1668,48
QuestDragon,Simulación,751,46
DragonGalaxy,Acción,52712,73
EmpireGalaxy,Acción,44536,63
QuestEmpire,Acción,15160,2
QuestEmpire,Simulación,7182,96
QuestWarrior,Deportes,67738,67
GalaxyEmpire,Acción,29203,17
EmpireDragon,Aventura,54538,62
QuestEmpire,Aventura,56658,72
LegendsQuest,RPG,44417,63
LegendsLegends,Simulación,36769,45
EmpireEmpire,Estrategia,55370,55
DragonLegends,Estrategia,57544,96
WarriorQuest,Deportes,52521,75
QuestEmpire,Acción,41632,76
GalaxyWarrior,Simulación,9943,95
EmpireGalaxy,Estrategia,31762,47
QuestQuest,Simulación,12104,13
DragonGalaxy,Estrategia,51434,92
QuestQuest,Aventura,59662,55
GalaxyQuest,RPG,67133,29
EmpireLegends,Simulación,40324,43
EmpireEmpire,Simulación,67650,37
WarriorLegends,Aventura,27257,16
GalaxyGalaxy,Acción,69391,64
GalaxyLegends,Simulación,19226,63
GalaxyGalaxy,Estrategia,43232,84
WarriorQuest,Estrategia,63660,20
WarriorGalaxy,Aventura,29,59
QuestDragon,Simulación,39711,65
EmpireGalaxy,RPG,484,53
LegendsLegends,Acción,46053,94
LegendsQuest,Aventura,60267,56
DragonDragon,RPG,61682,71
LegendsQuest,Estrategia,39804,1
LegendsQuest,Aventura,43002,38
EmpireQuest,Simulación,65465,33
QuestQuest,Simulación,41615,21
LegendsQuest,Acción,39083,52
QuestWarrior,Aventura,38572,72
DragonDragon,Estrategia,58366,85
DragonDragon,RPG,60354,23
QuestWarrior,Simulación,24782,58
EmpireQuest,Simulación,50523,62
GalaxyDragon,Deportes,65399,5
DragonWarrior,Acción,59554,74
WarriorGalaxy,Estrategia,2866,14
DragonLegends,Estrategia,44350,91
GalaxyWarrior,RPG,47687,19
GalaxyQuest,Estrategia,11832,84
GalaxyWarrior,Aventura,65389,47
QuestGalaxy,RPG,23566,85
QuestDragon,Acción,51829,31
WarriorQuest,Estrategia,11669,58
LegendsGalaxy,Deportes,47891,31
DragonQuest,Acción,51362,53
GalaxyEmpire,RPG,42769,55
EmpireDragon,Aventura,34876,32
DragonDragon,Estrategia,63683,57
GalaxyEmpire,Acción,65223,74
GalaxyEmpire,Deportes,65617,91
GalaxyGalaxy,Simulación,64943,83
QuestQuest,Estrategia,47413,56
DragonWarrior,Aventura,15813,40
DragonLegends,RPG,15898,52
LegendsEmpire,Acción,8697,77
LegendsQuest,Acción,48455,51
GalaxyDragon,Acción,5119,94
DragonLegends,Acción,69573,64
GalaxyDragon,Aventura,25107,27
GalaxyEmpire,Deportes,8517,90
GalaxyEmpire,Aventura,14657,28
GalaxyLegends,Estrategia,67926,58
EmpireLegends,Estrategia,35741,2
EmpireEmpire,Aventura,40210,47
EmpireGalaxy,Estrategia,62628,49
DragonQuest,Aventura,7615,92
DragonEmpire,Simulación,22674,65
LegendsGalaxy,Estrategia,12042,50
LegendsGalaxy,Simulación,50262,63
WarriorWarrior,Aventura,67345,21
EmpireDragon,Aventura,64634,61
WarriorLegends,Deportes,60135,1
EmpireLegends,RPG,18444,81
GalaxyDragon,Simulación,6158,43
WarriorLegends,RPG,20420,54
DragonGalaxy,Deportes,17155,20
GalaxyDragon,Deportes,5188,43
GalaxyWarrior,Aventura,67324,39
QuestQuest,Acción,49181,2
QuestWarrior,Deportes,56652,87
DragonGalaxy,Simulación,49959,0
LegendsWarrior,Aventura,13466,69
LegendsGalaxy,RPG,61700,34
LegendsQuest,Estrategia,6236,59
QuestLegends,Acción,67258,72
QuestGalaxy,Simulación,60837,59
LegendsDragon,Estrategia,53562,55
LegendsEmpire,Simulación,5214,72
EmpireDragon,Estrategia,13178,82
LegendsQuest,Aventura,17911,67
LegendsGalaxy,Simulación,42698,44
DragonEmpire,Estrategia,65804,96
GalaxyQuest,RPG,42673,59
QuestLegends,RPG,25494,65
LegendsDragon,Aventura,9600,100
LegendsQuest,Estrategia,19301,64
WarriorLegends,Acción,62128,37
DragonQuest,Aventura,45492,2
DragonWarrior,Aventura,43464,6
EmpireGalaxy,Simulación,28098,16
DragonEmpire,Estrategia,42471,66
DragonWarrior,RPG,61084,46
GalaxyDragon,Aventura,56863,56
DragonLegends,Aventura,16520,97
DragonLegends,Simulación,10487,17
EmpireQuest,Estrategia,42952,73
GalaxyQuest,Acción,18568,21
GalaxyDragon,Estrategia,31213,31
WarriorQuest,Estrategia,13417,39
EmpireLegends,Simulación,11386,47
DragonWarrior,Aventura,33133,90
QuestQuest,Estrategia,42488,98
EmpireEmpire,RPG,12439,58
QuestLegends,Aventura,42050,10
EmpireGalaxy,Simulación,39594,95
LegendsQuest,Aventura,40078,32
QuestEmpire,Aventura,60453,38
DragonDragon,Acción,31829,54
QuestGalaxy,RPG,40963,75
QuestQuest,Simulación,2979,44
GalaxyGalaxy,Estrategia,13411,39
QuestGalaxy,Deportes,56632,42
DragonEmpire,Simulación,47534,26
WarriorDragon,Deportes,43423,29
LegendsLegends,Deportes,8908,66
WarriorGalaxy,Aventura,7512,62
EmpireLegends,Aventura,57344,81
DragonLegends,Aventura,39497,42
DragonWarrior,Simulación,3375,59
QuestGalaxy,RPG,67331,19
QuestLegends,Acción,15711,4
WarriorLegends,Acción,42124,93
LegendsEmpire,Acción,28156,93
GalaxyDragon,Acción,6009,40
WarriorQuest,Aventura,29275,61
WarriorWarrior,Aventura,62213,70
QuestGalaxy,Simulación,58693,68
QuestDragon,Estrategia,34700,23
EmpireGalaxy,Simulación,1226,30
LegendsGalaxy,Aventura,28345,69
QuestQuest,Acción,33123,64
DragonDragon,Simulación,60792,64
EmpireWarrior,RPG,32578,11
DragonWarrior,Deportes,69224,23
LegendsEmpire,Acción,21307,1
EmpireQuest,Estrategia,68356,98
WarriorEmpire,RPG,63724,81
LegendsWarrior,RPG,55603,63
WarriorWarrior,RPG,27706,2
QuestLegends,Estrategia,25856,31
WarriorQuest,RPG,67971,35
GalaxyLegends,Acción,14335,75
DragonQuest,Deportes,65118,64
DragonWarrior,Estrategia,64197,92
WarriorDragon,Aventura,62063,61
WarriorGalaxy,Estrategia,2597,24
QuestQuest,Acción,60930,3
WarriorWarrior,RPG,18144,22
DragonGalaxy,Deportes,15155,63
LegendsEmpire,Simulación,24548,91
EmpireGalaxy,Deportes,15737,34
WarriorWarrior,Acción,43360,75
LegendsEmpire,Aventura,37275,72
EmpireWarrior,Aventura,34608,97
EmpireDragon,RPG,12250,52
LegendsGalaxy,Simulación,25509,26
EmpireDragon,Deportes,25358,33
QuestGalaxy,Simulación,29652,8
EmpireLegends,Estrategia,54317,30
LegendsEmpire,RPG,32688,41
GalaxyLegends,Simulación,30071,34
QuestWarrior,Estrategia,29862,11
QuestGalaxy,Estrategia,55914,48
EmpireEmpire,Deportes,48735,81
GalaxyGalaxy,Aventura,30322,29
LegendsDragon,RPG,66679,24
DragonLegends,Simulación,25595,31
QuestEmpire,Simulación,22641,97
WarriorWarrior,Acción,62447,10
EmpireQuest,Acción,47970,43
LegendsLegends,Simulación,43911,35
QuestWarrior,Estrategia,37405,74
GalaxyWarrior,Estrategia,53187,81
EmpireLegends,Aventura,9453,90
GalaxyGalaxy,Deportes,51952,69
DragonDragon,Simulación,53440,65
EmpireWarrior,Estrategia,55375,69
LegendsWarrior,Estrategia,28401,73
EmpireQuest,Simulación,16186,91
EmpireGalaxy,Acción,50258,71
GalaxyWarrior,Aventura,52762,85
WarriorDragon,Simulación,51396,10
EmpireGalaxy,Estrategia,26991,77
LegendsEmpire,Deportes,66781,55
WarriorEmpire,Deportes,4867,47
GalaxyEmpire,Estrategia,38619,77
DragonQuest,Acción,60885,56
GalaxyWarrior,Aventura,31039,85
GalaxyQuest,Estrategia,31590,75
GalaxyQuest,Simulación,45217,92
DragonLegends,Deportes,46980,67
LegendsDragon,Acción,10627,13
QuestLegends,Aventura,47237,15
EmpireGalaxy,RPG,1135,6
GalaxyQuest,Acción,10322,32
GalaxyLegends,Estrategia,12465,42
LegendsDragon,Estrategia,32019,30
EmpireDragon,Estrategia,13679,4
DragonQuest,RPG,35993,41
LegendsDragon,Estrategia,9600,40
DragonQuest,Estrategia,54805,69
QuestEmpire,Simulación,66843,56
EmpireDragon,Simulación,61990,4
EmpireEmpire,Acción,55287,79
DragonDragon,Acción,40288,3
GalaxyWarrior,Acción,11411,58
GalaxyDragon,Aventura,68463,89
EmpireDragon,Acción,8690,68
WarriorWarrior,Aventura,49864,55
WarriorGalaxy,Estrategia,33799,53
WarriorGalaxy,Estrategia,65204,34
EmpireQuest,Estrategia,48373,9
EmpireWarrior,Aventura,54927,44
GalaxyGalaxy,Estrategia,65004,58
GalaxyQuest,RPG,39783,29
DragonWarrior,Acción,731,65
LegendsWarrior,Simulación,32214,54
LegendsEmpire,Estrategia,39479,84
QuestQuest,Aventura,20194,69
DragonWarrior,Aventura,38580,86
GalaxyQuest,Estrategia,34246,37
GalaxyDragon,RPG,11524,11
GalaxyWarrior,Simulación,68149,7
QuestEmpire,Aventura,43132,58
QuestWarrior,Simulación,64247,53
DragonGalaxy,Acción,56204,97
LegendsEmpire,Aventura,25786,19
EmpireWarrior,Acción,48169,40
EmpireLegends,Simulación,58111,67
GalaxyEmpire,Aventura,1632,21
EmpireDragon,Aventura,61908,43
EmpireEmpire,RPG,59755,38
LegendsLegends,RPG,24066,31
GalaxyGalaxy,Deportes,59461,94
QuestWarrior,Simulación,67537,92
QuestDragon,Aventura,27091,26
GalaxyDragon,Acción,49158,12
DragonGalaxy,RPG,43833,72
LegendsGalaxy,Aventura,1610,94
DragonLegends,Simulación,29895,97
DragonWarrior,Acción,34597,88
DragonLegends,Aventura,9892,89
GalaxyLegends,Aventura,49605,14
EmpireWarrior,Simulación,1155,67
GalaxyEmpire,RPG,33499,93
GalaxyWarrior,Estrategia,34467,75
WarriorDragon,Deportes,8482,59
WarriorWarrior,Simulación,43560,87
WarriorDragon,Estrategia,44113,53
GalaxyDragon,Acción,50677,94
QuestQuest,Deportes,42429,27
EmpireGalaxy,Acción,14871,17
QuestDragon,Simulación,14063,44
GalaxyDragon,Estrategia,8772,17
QuestGalaxy,Simulación,43646,39
DragonLegends,RPG,39782,92
GalaxyGalaxy,Deportes,57624,95
EmpireLegends,Estrategia,7755,11
LegendsDragon,Simulación,46878,8
GalaxyDragon,Acción,13484,92
GalaxyWarrior,Aventura,65487,85
QuestWarrior,Deportes,23103,24
QuestGalaxy,Estrategia,38917,88
GalaxyDragon,Acción,55090,2
QuestGalaxy,RPG,49810,79
DragonEmpire,Acción,48841,24
QuestLegends,Acción,58251,3
GalaxyWarrior,Simulación,3180,30
LegendsDragon,Deportes,3291,7
WarriorEmpire,Acción,57840,81
WarriorDragon,Acción,53751,62
GalaxyEmpire,Simulación,51514,4
GalaxyQuest,Estrategia,66127,27
QuestWarrior,Simulación,40531,30
EmpireEmpire,Estrategia,62539,85
QuestGalaxy,Acción,47750,46
QuestGalaxy,Estrategia,13046,70
GalaxyEmpire,Acción,20831,27
QuestGalaxy,Deportes,33156,13
LegendsDragon,Simulación,59703,88
GalaxyQuest,RPG,53864,80
